Q1 - Sessionize:
+---------------+---------+-----------+
|       clientIP|sessionID|sessionTime|
|  106.78.13.215|        1|          0|
|  106.78.19.195|        1|     191531|
|  106.79.139.48|        1|     183494|
|  106.79.28.185|        1|          0|
|107.167.108.217|        1|     156884|
|107.167.108.217|        2|     783709|
|107.167.108.217|        3|     729003|
| 107.167.99.177|        1|     475382|
| 107.167.99.177|        2|     523997|
| 107.167.99.177|        3|     543397|
| 111.118.244.19|        1|      68290|
|   112.196.33.2|        1|          0|
|  112.196.7.100|        1|     339591|
|  112.79.35.194|        1|          0|
|  112.79.35.194|        2|     385542|
|   112.79.37.91|        1|     166937|
+---------------+---------+-----------+
only showing top 100 rows

Q2 - Avg Session Time:
+-----------------+
| avg(sessionTime)|
+-----------------+
|535402.7010411163|
+-----------------+

Q3 - Unique URL Visits per Session:
+---------------+---------+------------+
|       clientIP|sessionID|uniqueVisits|
+---------------+---------+------------+
|   1.186.143.37|        1|           2|
|   1.187.164.29|        1|           6|
|     1.22.41.76|        1|           5|
|    1.23.208.26|        1|           3|
|    1.23.36.184|        1|           4|
|      1.38.19.8|        1|           1|
|     1.38.20.34|        1|          11|
|     1.39.13.13|        1|           2|
|    1.39.32.249|        1|           3|
|    1.39.32.249|        2|           2|
|     1.39.32.59|        1|           1|
|    1.39.33.153|        1|           5|
|     1.39.33.33|        1|           2|
|     1.39.33.77|        1|           2|
|     1.39.33.77|        2|           3|
|      1.39.34.4|        1|           1|
|     1.39.40.43|        1|           2|
|     1.39.60.37|        1|          34|
|     1.39.61.53|        1|           1|
|    1.39.62.227|        1|           2|
|    1.39.63.197|        1|           2|
|      1.39.63.5|        1|           2|
|      1.39.63.5|        2|           3|
|     1.39.80.11|        1|          12|
|     1.39.80.59|        1|           6|
|     1.39.80.59|        2|           2|
|    1.39.96.177|        1|           1|
|    1.39.96.177|        2|           3|
|    1.39.96.180|        1|           3|
|     1.39.96.68|        1|           4|
|   101.212.65.1|        1|           5|
|  101.212.69.69|        1|           1|
|101.222.227.114|        1|           2|
| 101.223.252.87|        1|           2|
| 101.57.206.246|        1|           1|
|   101.57.4.107|        1|           4|
|  101.58.167.51|        1|           1|
| 101.60.197.127|        1|           4|
|  101.62.205.35|        1|           1|
| 101.62.218.177|        1|           2|
| 101.62.250.135|        1|           3|
| 101.63.205.107|        1|           6|
|   103.15.63.34|        1|          12|
|    103.16.71.9|        1|           3|
|    103.16.71.9|        2|           8|
|    103.16.71.9|        3|           5|
|    103.16.71.9|        4|           1|
|    103.16.71.9|        5|           1|
|    103.16.71.9|        6|           1|
| 103.228.115.16|        1|           1|
|103.233.170.180|        1|          14|
|   103.24.23.10|        1|           3|
|   103.24.23.10|        2|           8|
|   103.24.23.10|        3|           3|
|   103.24.23.10|        4|           2|
|   103.24.23.10|        5|           8|
|   103.24.23.10|        6|           2|
| 103.243.11.122|        1|           3|
|103.252.165.138|        1|           1|
|103.255.180.103|        1|           1|
|  103.30.83.131|        1|           3|
|   103.40.51.60|        1|           5|
|   103.40.51.60|        2|           6|
|   103.42.88.34|        1|          12|
|   103.42.88.34|        2|          20|
|  103.50.83.146|        1|           2|
| 103.55.169.151|        1|           3|
|  106.194.53.95|        1|           5|
| 106.194.72.116|        1|           1|
|   106.201.76.6|        1|           4|
|106.206.154.121|        1|           3|
|  106.208.243.5|        1|           1|
|  106.210.140.8|        1|           2|
|106.215.136.220|        1|           2|
| 106.215.140.91|        1|           3|
|  106.220.18.37|        1|           2|
| 106.51.141.207|        1|           2|
| 106.51.175.162|        1|           2|
| 106.51.242.214|        1|           9|
|   106.67.8.255|        1|           1|
| 106.76.168.115|        1|           5|
|  106.76.97.245|        1|           6|
|  106.77.245.91|        1|           3|
|  106.77.91.244|        1|           6|
|  106.78.13.215|        1|           1|
|  106.78.19.195|        1|           1|
|  106.79.139.48|        1|           2|
|  106.79.28.185|        1|           1|
|107.167.108.217|        1|           1|
|107.167.108.217|        2|           8|
|107.167.108.217|        3|           5|
| 107.167.99.177|        1|           2|
| 107.167.99.177|        2|           3|
| 107.167.99.177|        3|           3|
| 111.118.244.19|        1|           2|
|   112.196.33.2|        1|           1|
|  112.196.7.100|        1|           2|
|  112.79.35.194|        1|           1|
|  112.79.35.194|        2|           3|
|   112.79.37.91|        1|           2|
+---------------+---------+------------+
only showing top 100 rows

Q4 - The Most Engaged Users:
+---------------+-----------+
|       clientIP|engagedTime|
+---------------+-----------+
|  14.139.82.134|    6411422|
|   103.24.23.10|    4459992|
|  27.34.244.251|    3610576|
|   103.42.88.34|    3441125|
| 117.241.152.20|    3254723|
|168.235.197.123|    3251176|
|  37.228.106.13|    3038847|
|   103.15.63.34|    2750714|
|  27.34.250.215|    2636015|
|  182.19.54.187|    2619437|
|  202.53.89.132|    2598094|
|180.215.123.203|    2104470|
|122.175.225.152|    2102383|
|  14.141.217.83|    2068759|
|  216.251.62.11|    2053806|
|  113.193.19.38|    2014147|
|     1.39.60.37|    1971606|
|    103.16.71.9|    1894699|
|    8.37.228.93|    1866994|
| 115.250.95.174|    1796656|
|  115.99.93.223|    1784943|
|117.213.224.211|    1752931|
|  167.191.252.7|    1712932|
|  182.69.49.201|    1694736|
|103.233.170.180|    1671185|
|107.167.108.217|    1669596|
| 59.160.110.163|    1658182|
| 203.193.137.44|    1655064|
|  117.197.55.39|    1548198|
| 107.167.99.177|    1542776|
| 210.212.249.11|    1538346|
|     1.39.80.59|    1465578|
| 49.207.188.111|    1437832|
|  14.139.159.99|    1418769|
|115.111.248.134|    1409697|
|     1.39.80.11|    1408272|
|  61.16.142.162|    1394746|
| 101.63.205.107|    1386421|
|   103.40.51.60|    1329588|
| 124.123.73.155|    1250488|
|   61.0.225.164|    1247828|
|  106.76.97.245|    1183425|
| 175.101.67.136|    1177345|
|   117.55.242.8|    1167771|
|  144.36.232.44|    1167630|
|117.199.175.119|    1115892|
| 223.227.32.102|    1079547|
|117.218.161.174|    1070011|
| 117.220.84.176|    1067892|
|  14.96.170.158|    1062990|
|  117.240.56.66|    1059778|
|   183.82.78.64|    1049565|
|  122.166.58.14|    1046155|
|  182.66.43.148|    1037610|
|     1.38.20.34|    1019660|
| 117.205.39.248|    1016729|
|  120.56.209.48|    1004493|
|   45.117.48.43|    1000929|
|  115.99.101.27|     989140|
|   49.203.34.83|     984825|
|   27.63.186.72|     982649|
|  115.118.63.82|     979078|
|122.166.215.163|     973443|
| 223.176.52.254|     973318|
|  182.66.32.131|     971305|
| 117.199.79.155|     966249|
|  115.69.247.81|     953136|
| 117.244.35.208|     952771|
|   101.212.65.1|     949982|
|    156.101.9.1|     944265|
|    49.50.74.14|     941998|
| 59.178.132.223|     939255|
|117.199.119.153|     936746|
| 117.204.193.39|     935036|
|   27.124.41.24|     934020|
| 182.64.222.139|     927643|
| 50.118.172.199|     926004|
|117.223.209.111|     924872|
|   1.187.164.29|     922289|
|  182.69.150.15|     920814|
|   14.140.19.35|     918836|
|   49.248.53.54|     911099|
| 113.193.87.145|     908632|
|117.216.241.246|     908051|
|  122.176.79.17|     901092|
|202.191.227.230|     901025|
| 168.235.195.54|     889214|
|   8.37.225.142|     886813|
| 124.253.18.164|     885129|
|117.223.113.166|     879748|
|  192.148.105.4|     878073|
|   115.250.0.14|     875492|
| 117.194.96.174|     872515|
| 115.114.142.66|     871159|
|106.206.154.121|     868837|
|     1.22.41.76|     863867|
|123.136.182.137|     861734|
| 117.239.14.210|     861343|
| 14.140.174.242|     859063|
|121.242.178.194|     857248|
+---------------+-----------+
only showing top 100 rows

